Depotbewertung vom 06.02.2021 16:28
Kunde;Testname

Depotnummer;123123123

ISIN;Wertpapiername;Stück/Nominale;Einheitskennzeichen;Einstandskurs;Währung;Einstandswert;Währung;Bewertungskurs;Währung;Zeit;Handelsplatz;Kurswert;Währung;Gewinn/Verlust;Währung;Gewinn/Verlust (%)
US0605051046;BANK AMERICA      DL 0,01;15;Stück;21,6553;EUR;324,83;EUR;26,925;EUR;05.02.2021;Direkthandel;403,88;EUR;79,05;EUR;24,34%
DE000BASF111;BASF SE NA O.N.;20;Stück;52,3065;EUR;1.046,13;EUR;66,99;EUR;05.02.2021;Direkthandel;1.339,80;EUR;293,67;EUR;28,07%
CH0038389992;BB BIOTECH NAM.   SF 0,20;26,86047;Stück;63,6177;EUR;1.708,80;EUR;81,80;EUR;05.02.2021;Frankfurt;2.197,19;EUR;488,39;EUR;28,58%
DE0005785604;FRESENIUS SE+CO.KGAA O.N.;10;Stück;44,881;EUR;448,81;EUR;35,25;EUR;05.02.2021;Direkthandel;352,50;EUR;-96,31;EUR;-21,46%
GB0009252882;GLAXOSMITHKLINE   LS-,25;44;Stück;16,6934;EUR;734,51;EUR;14,798;EUR;05.02.2021;Direkthandel;651,11;EUR;-83,40;EUR;-11,35%
US4878361082;KELLOGG CO.       DL -,25;0,49868;Stück;50,1323;EUR;25,00;EUR;48,16;EUR;05.02.2021;Direkthandel;24,02;EUR;-0,98;EUR;-3,92%
GB00B03MM408;ROYAL DUTCH SHELL B EO-07;10;Stück;15,564;EUR;155,64;EUR;14,624;EUR;05.02.2021;Direkthandel;146,24;EUR;-9,40;EUR;-6,04%
DE0007236101;SIEMENS AG  NA O.N.;10,77185;Stück;74,5703;EUR;803,26;EUR;133,36;EUR;05.02.2021;Direkthandel;1.436,53;EUR;633,27;EUR;78,84%
DE000SHL1006;SIEMENS HEALTH.AG NA O.N.;10;Stück;45,066;EUR;450,66;EUR;49,50;EUR;05.02.2021;Direkthandel;495,00;EUR;44,34;EUR;9,84%
CH0244767585;UBS GROUP AG      SF -,10;50;Stück;10,7044;EUR;535,22;EUR;12,2125;EUR;19.01.2021;Sonstiger Handelsplatz;610,62;EUR;75,40;EUR;14,09%
US9314271084;WALGREENS BOOTS AL.DL-,01;30;Stück;35,4997;EUR;1.064,99;EUR;41,37;EUR;05.02.2021;Direkthandel;1.241,10;EUR;176,11;EUR;16,54%
""";;;;;Depot-Gesamtwert;7.297,85;EUR;;;;;8.897,99;EUR;1.600,14;EUR;21,93%
"
